1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 16 
0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 13 
0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 10 
0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 12 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 9 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 14 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 7 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 20 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 7
1 0 -1 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 -1 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 -1 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 -1 0 -1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
